Source;Planet;Traits;Legendary;Resources;Influence;Technology Specialities;Legendary Ability;Flavor Text
Prophecy of Kings;Everra;Cultural;;3;1;;;Ancient world of red seas and bare rocks. Locals live in wondrous nano-carbon cities built by a mysterious ancient race, and mine nearby nebulae for rare gases
Prophecy of Kings;Jeol Ir;Industrial;;2;3;;;Heavily industrialized world. Pollution has killed all life outside of dome cities, but twin suns provide constant power for factories and huge populace
Prophecy of Kings;Accoen;Industrial;;2;3;;;Populace lives on continent sized fungal rafts that float atop a soupy, world-spanning ocean of useful bio-compounds. Popular research site for biologists
Prophecy of Kings;Kraag;Hazardous;;2;1;;;A heavily irradiated world known only for its dust mines. Recently a massive "tomb" of dormant Titans was discovered in the southern hemisphere
Prophecy of Kings;Siig;Hazardous;;0;2;;;World covered in frozen, cesium-laced oceans. Archives buried deep beneath the surface use the cold to preserve relics and operate massive computers
Prophecy of Kings;Ba'kal;Industrial;;3;2;;;Dry, rocky deserts stretch from pole to pole. Shield cities protect against sandstorms while supplying nomadic harvester crawlers that mine the barrens for salt compounds
Prophecy of Kings;Alio Prima;Cultural;;1;1;;;Wet planet covered in rivers, lakes and small seas but no oceans. Dry poles provide haven from constant floods. Numerous farms famous for luxury foodstuffs
Prophecy of Kings;Lisis;Industrial;;2;2;;;Primordial world with primitive native life. Potential for terraforming led to the infamous genocide of Saar settlements by Sardakk N'orr and ongoing conflicts between them and Naalu forces
Prophecy of Kings;Velnor;Industrial;;2;1;Red;;Barren world of windswept rocks and thick, murky oceans. Lack of local lifeforms allows corporations to strip-mine the surface and test orbital kinetic weapons at the poles
Prophecy of Kings;Cealdri;Cultural;;0;2;Yellow;;Small cities huddle on the shores of the single ocean and avoid the arid continental interiors. Mentak ships hunt departing vessels carrying bespoke cybernetics
Prophecy of Kings;Xanhact;Hazardous;;0;1;;;Rebelled during the end of the Lazax Empire, and was bombarded to ash by a Lazax fleet as an example. Left by the Galactic Council as a memorial to Lazax tyranny
Prophecy of Kings;Vega Major;Cultural;;2;1;;;Most of the population resides in orbital habitats supporting mining operations in the planetary ring. Surface colonization limited due to oceanic macrosquid infestations
Prophecy of Kings;Vega Minor;Cultural;;1;2;Blue;;Famous for extremely shallow seas covering most of the surface and for the renowned Vega Propulsion Corporation. Stilt cities host vibrant multi-species populations
Prophecy of Kings;Abaddon;Cultural;;1;0;;;A temperate planet whose low gravity allows for stunningly tall mountain ranges. Serves as a stop-over for trade routes to the nearby Vorish Cluster
Prophecy of Kings;Ashtroth;Hazardous;;2;0;;;Covered in boggy landmasses and shallow seas. Algal blooms provide rich biomass for processed foods, but create smelly and often toxic offgassing
Prophecy of Kings;Loki;Cultural;;1;2;;;Cold and wracked with violent storms, Loki still hosts several Yssaril and human colonies, some of which have engaged in escalating shadow-conflicts
Prophecy of Kings;Rigel I;Hazardous;;0;1;;;Hot, innermost world of the Rigel system. Cities and native life cluster inland from the heavily alkaline oceans
Prophecy of Kings;Rigel II;Industrial;;1;2;;;Temperate world with expansive oceans. Covered in estates and resorts for the system's elite, with extensive fisheries that feed much of the rest of the system
Prophecy of Kings;Rigel III;Industrial;;1;1;Green;;Outermost world of the Rigel system, and extensively settled despite cooler climates. Boasts a diverse range of industries and research institutions
Codex;Custodia Vigilia;;Yes;2;3;;While you control Mecatol Rex, it gains SPACE CANNON 5 and PRODUCTION 3. Gain 2 command tokens when another player scores Victory Points using imperial.;Custodia Vigilia. The fully realized seat of the Keleres. A veritable fortress in the heart of Mecatol City. Ten thousand people come and go daily, and the Keleres see them all.
Discordant Stars;Axis;;;5;0;;;Once the hub of galactic starship construction, Axis was left all but depopulated after the treacherous Jol-Nar released a plague on it during the final days of the Twilight Wars.
Discordant Stars;Benc;;;2;0;;;A cold, dark, tundra world holding a wealth of natural resources, which has more recently been repurposed as a vault world for the Conglomerate.
Discordant Stars;Hau;;;1;2;;;A long-time merchant stopover, now a bustling merchant hub for the Conglomerate's trade of relics and other artifacts.
Discordant Stars;Louk;;;2;1;;;Louk is the crown jewel of the Celdauri Federation. Both prized for its natural beauty, and its resource rich interior, Louk serves as a symbol for Celdauri partnership, wealthy but respected.
Discordant Stars;Auldane;;;1;3;;;As the seat of power for the Celdauri Federation, the planet Auldane's scorched deserts are dotted by massive cities whose grey footprints are even visible from space.
Discordant Stars;Gghurn Theta;;;2;1;;;Gghurn Theta's warm, shallow seas and rocky outcrops are littered with abandoned research and aquaculture facilities.
Discordant Stars;Arche;;;2;2;;;The subterranean caves of this cold water world are the birthplace of Cheiran culture.
Discordant Stars;Cymiae;;;3;1;;;This rich jungle world was once used as a nature preserve. When containment failed at a hidden research post, the world's few civilized inhabitants were soon overrun.
Discordant Stars;Abyssus;;;4;2;;;The new holy world and sanctuary of the Dih-Mohn, Abyssus is a world shrouded by deep purple mists, with a few vast plateaus peeking out of the mist which provide arable land for the cities below.
Discordant Stars;Edyn;;;3;3;;;Known for its beautiful architecture and fine arts, the Mandate's home planet is now a hub of galactic trade and negotiation.
Discordant Stars;Ekko;;;0;1;;;A world treated nearly as sacred by the Mandate, it is home to their advanced research and development centers.
Discordant Stars;Okke;;;0;1;;;Once a proving ground, this small planet now serves as a quiet reminder that the Mandate is peaceful by choice.
Discordant Stars;Delmor;;;2;1;;;A world of dense swamp and tall mountains, Delmor consists of two primary ecosystems, one in the clouds and mountains above, the other in the swamps below.
Discordant Stars;Kyd;;;1;2;;;Mostly consisting of a shallow ocean, with hundreds of thousands of small islands dotted across, Kyd is a world known for its unique mixture of terrestrial and aquatic ecosystems.
Discordant Stars;Idyn;;;1;0;;;Once a mining colony outpost, a small and peaceful revolution started a movement for independence that has begun to take root across the galaxy.
Discordant Stars;Kroll;;;1;1;;;More of an overbloated intragalactic assembly than an actual home to any specific people, the capital of the Free Systems Alliance is a swamp of democratic bureacracy.
Discordant Stars;Cyrra;;;0;1;;;Teeming with exotic wildlife, and home to a few highly-rated orbital resorts, the planet's unique ecology has led to more than a few breakthroughs in medicine.
Discordant Stars;Drah;;;1;2;;;Drah is a cold world, holding the seat of the Lord, Kantrus. Clans seeking his favor must prove their worth in rhetoric, arts, and intrigue. Some think this weakness, but Kantrus knows well; diplomacy is often the sharpest blade.
Discordant Stars;Trykk;;;2;1;;;The Lady, Korela, keeps her seat on Trykk in the highlands of the southern continent. The various raider clans fight for a seat at her table, each sending their best fighting pairs. The Lady prefers her contests remain...deadly.
Discordant Stars;Ghoti;;;3;3;;;The Wayfarer's form is not known, though some who meet the All-Mother later describe visions of swirling lights in an impossibly deep sea.
Discordant Stars;Last Stop;;;3;0;;;Home to the Union, and furthest recognized outpost of civilization, it is looked upon with great fondness by all who travel this far.
Discordant Stars;Chrion;;;2;3;;;A vibrant world, most life is sheltered carefully inside the civil zones as the Oracle's caretakers maintain the planet's ecology.
Discordant Stars;Demis;;;2;2;;;A charred world, and a humbling reminder of those that challenged the Oracle's rise to dominance over the Chri people.
Discordant Stars;Kjalengard;;;3;2;;;Kjalengard, where the most luscious of flora and fauna thrive, host of glorious warriors, and home to billions of others who enjoy bountiful lives.
Discordant Stars;Hulgade;;;1;0;;;To avoid polluting Kjalengard, the spacious Hulgade was colonized and built up to be the outward trading post for Kjalengard.
Discordant Stars;Susuros;;;4;4;;;Tucked in the heart of unclaimed space, the Kollecc Society's capital is a nexus for bounty hunters and mercenaries, as well a home to one of galaxy's most extensive and eclectic collections of rare artifacts.
Discordant Stars;Alesna;;;2;0;;;The Kolume capital, this temperate world is home to most of their population, as well as the ruins of the civilization that created them.
Discordant Stars;Azle;;;2;0;;;While barren, this mineral rich planet is a bountiful source of raw materials — and the home of the first Kolume, who were built here to strike the earth.
Discordant Stars;Ogdun;;;2;0;;;An altogether ordinary world, and ancient home of the Kortali war industry, the world is a depressing testament to the single-minded devotion of its people.
Discordant Stars;Brthkul;;;1;3;;;Named after the charred corpse of the Kortali All-Father, the home world of their Queens is a sacred world to the Tribunal.
Discordant Stars;Avicenna;;;4;0;;;There are few worlds as inhospitable to visitors as the Kyro homeworld, some say this is a point of pride for its inhabitants.
Discordant Stars;Aysis' Rest;;;4;3;;;Homeworld of the Remnants and veritable paradise, Aysis' Rest is named in honor of an ancient legend of the Lanefir people.
Discordant Stars;Solitude;;;0;1;;;A wasteland and forsaken world of the Lanefir, home only to exiles and the occasional pilgrim.
Discordant Stars;Pax;;;1;2;;;Home of the Li-Zho, many well-kept secrets lie far from the prying eyes of offworlders.
Discordant Stars;Vess;;;0;1;;;The subject of much Li-Zho poetry, the smaller of the Li-Zho's capital worlds is largely used as a quiet retreat for the military elite and various other Li-Zho nobles.
Discordant Stars;Kyr;;;2;0;;;A planet-wide military staging ground, the Li-Zho use this world to train for a variety of foreign environments.
Discordant Stars;Bohl-Dhur;;;3;4;;;The planet is remarkable for the quiet melodic hum given off by the ethereal crystals that give the Khrask life.
Discordant Stars;Aldra;;;2;3;;;Capital of the Protectorate, daily life in the cities is a hum of activity under the ever-watchful shield of the Sentinel Machina.
Discordant Stars;Beata;;;2;1;;;A lonely world at the edge of the Mirveda's home system, it is here that the Protectorate's Elite are sheltered when they are not needed in the capital.
Discordant Stars;Biaheo;;;3;0;;;The Glimmer seem to develop their structural forms from the unique radioactive compounds found only on this brooding world.
Discordant Stars;Empero;;;0;3;;;The third orbiting body from their home system's star, the Glimmer homeworld appears to have cracked under some cataclysmic energetic release, known only to Glimmer as "The Spark."
Discordant Stars;Shi-Halaum;;;4;0;;;This is planetary sized mass of Mycelium. It feeds on itself and the bio-mass of its people to stay alive. It is a rotting mass of compiled genetic memory, literally the corpses of dead generations of Myko- Mentori and other dead.
Discordant Stars;Ellas;;;3;3;;;With their sun finally snuffed out, the Nivyn found only one way to continue existence on their home world: by fully embracing the void they worship so fanatically.
Discordant Stars;Zarr;;;2;1;;;A large mining world which has blossomed under the protection of the Nokar, it is now home to their primary starports.
Discordant Stars;Nokk;;;1;1;;;A small, forgettable world home to much of the Sellships' administrative operations.
Discordant Stars;Sanctuary;;;3;4;;;Once a prosperous mining world before being seized by revolting workers, Sanctuary now stands as beacon of hope for downtrodden peoples across the galaxy.
Discordant Stars;Poh;;;2;0;;;Only the High Zealots are allowed on Poh's surface. Extra-system scans reveal the planet is largely unsettled, marked by scattered spires and temples.
Discordant Stars;Orad;;;3;1;;;A race of beings called the Placi make up the vast majority of Orad's population. Historians speculate that had the Zealots not intervened, it would have been several millennia yet before the Placi even left their atmosphere.
Discordant Stars;Prind;;;3;3;;;The only planet in its system, Prind was once a lush and fertile forest planet. When the Roh'Dhna Corp purchased the planet they stripped it of all natural value turning it into an industrial superfactory.
Discordant Stars;Discordia;;;4;1;;;A hub of information brokers, stolen good markets, and smugglers of all kinds. Also, oddly, some of the finest free medical care for children in the galaxy.
Discordant Stars;Vadarian;;;3;0;;;Vadarian is a dirty world controlled by the current Clan Prime, Clan Putriv. Clanmaster Prime Putriv Sirvonsk gained his rank in an unorthodox way - even for a Vaden.
Discordant Stars;Norvus;;;1;2;;;Norvus was the site of the most recent Clanboyevoy. The event was halted abruptly when it was determined impossible to count the pieces of the former Clanmaster Prime.
Discordant Stars;Vaylar;;;3;2;;;Once the home of two sentient species, Vaylar is a planet composing of two large land masses and two vast oceans.
Discordant Stars;Rhune;;;3;4;;;The home of the Veldyr is known across the galaxy for its incredible weather, elegant culture, and the majesty of its sprawling cities.
Discordant Stars;Zelian;;;3;3;;;A mysterious world filled with an unknown pulsing energy.
Discordant Stars;Gen;;;2;0;;;A broken world drawn into Zelian's orbit. Currently in the process of being dismantled for resources.
Discordant Stars;Silence;Industrial;Yes;2;2;;You may exhaust this card at the end of your turn to place 1 cruiser from your reinforcements in any system that contains 1 or more of your ships.;
Discordant Stars;Echo;Hazardous;Yes;1;2;;You may exhaust this card at the end of your turn to place 1 frontier token in a system that does not contain a planet.;
Discordant Stars;Tarrock;Industrial;Yes;3;0;;After an agenda is revealed, you may exhaust this card to predict aloud an outcome of that agenda. If your prediction is correct, draw 1 secret objective.;
Discordant Stars;Prism;Industrial;Yes;0;3;;You may exhaust this card at the end of your turn and purge a non-faction, non-unit upgrade technology you own to gain 1 technology with the same number of prerequisites.;
Discordant Stars;Domna;Hazardous;Yes;2;1;;You may exhaust this card at the end of your turn to remove 1 of your ships from the game board and place that unit in an adjacent system that does not contain another player’s ships.;
Discordant Stars;Troac;Cultural;;0;4;;;
Discordant Stars;Etir V;Hazardous;;4;0;;;
Discordant Stars;Vioss;Cultural;;3;3;;;
Discordant Stars;Fakrenn;Hazardous;;2;2;;;
Discordant Stars;San-Vit;Cultural;;3;1;;;
Discordant Stars;Lodran;Hazardous;;0;2;Yellow;;
Discordant Stars;Dorvok;Industrial;;1;2;Red;;
Discordant Stars;Derbrae;Cultural;;2;3;;;
Discordant Stars;Moln;Industrial;;1;2;Blue;;
Discordant Stars;Rysaa;Hazardous;;2;0;Green;;
Discordant Stars;Salin;Hazardous;;1;2;;;
Discordant Stars;Gwiyun;Hazardous;;2;2;;;
Discordant Stars;Inan;Industrial;;1;2;;;
Discordant Stars;Swog;Industrial;;1;0;;;
Discordant Stars;Detic;Cultural;;3;2;;;
Discordant Stars;Lliot;Cultural;;0;1;;;
Discordant Stars;Qaak;Cultural;;1;1;;;
Discordant Stars;Larred;Industrial;;1;1;;;
Discordant Stars;Nairb;Hazardous;;1;1;;;
Discordant Stars;Sierpen;Cultural;;2;0;;;
Discordant Stars;Mandle;Industrial;;1;1;;;
Discordant Stars;Regnem;Hazardous;;0;2;;;
